Grade,Medium,Subject,DOMAIN,Question No,Answered,Wrong Answered,Un Answered,Answered %,Wrong Answered %,Un Answered %
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q26,2,10,0,0.009,0.046,0
Grade-VI,English,Math,"Identify various elements like sides angles vertices diagonals of triangles , quadrilateral",Q28,7,5,0,0.032,0.023,0
Grade-VI,English,Math,Solve problems involving large numbers by applying appropriate operations - addition subtraction multiplication and division,Q29,0,12,0,0,0.056,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Tense,Q1,31,8,0,0.026,0.007,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Tense,Q2,26,13,0,0.022,0.011,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q3,30,9,0,0.026,0.008,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Preposition,Q4,30,9,0,0.026,0.008,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q5,15,24,0,0.013,0.021,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Conjunctions,Q6,18,21,0,0.015,0.018,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q7,28,10,1,0.024,0.009,0.001
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q8,9,30,0,0.008,0.026,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q9,17,22,0,0.015,0.019,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q10,34,5,0,0.029,0.004,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules - Tense,Q11,36,3,0,0.031,0.003,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q12,38,1,0,0.032,0.001,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q13,24,15,0,0.021,0.013,0
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q14,31,7,1,0.026,0.006,0.001
Grade-VII,Tamil,Tamil,Applied the correct grammar rules,Q15,19,20,0,0.016,0.017,0
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q16,21,18,0,0.018,0.015,0
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q17,13,25,1,0.011,0.021,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q18,15,23,1,0.013,0.02,0.001
Grade-VII,Tamil,Tamil,Discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q19,9,29,1,0.008,0.025,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q20,24,12,3,0.021,0.01,0.003
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q21,24,14,1,0.021,0.012,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q22,22,16,1,0.019,0.014,0.001
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q23,25,13,1,0.021,0.011,0.001
Grade-VII,Tamil,Tamil,Identify the main characters or the major plot from the text given,Q24,16,21,2,0.014,0.018,0.002
Grade-VII,Tamil,Tamil,Identify the main characters or the major plot from the text given,Q25,6,31,2,0.005,0.026,0.002
Grade-VII,Tamil,Tamil,Identify the main characters or the major plot from the text given,Q26,30,7,2,0.026,0.006,0.002
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q27,35,2,2,0.03,0.002,0.002
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q28,35,2,2,0.03,0.002,0.002
Grade-VII,Tamil,Tamil,Discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q29,27,10,2,0.023,0.009,0.002
Grade-VII,Tamil,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q30,17,20,2,0.015,0.017,0.002
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q1,17,22,0,0.015,0.019,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q2,16,23,0,0.014,0.02,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q3,13,26,0,0.011,0.022,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q4,15,24,0,0.013,0.021,0
Grade-VII,Tamil,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q5,9,30,0,0.008,0.026,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q6,20,19,0,0.017,0.016,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q7,17,22,0,0.015,0.019,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q8,12,27,0,0.01,0.023,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q9,12,27,0,0.01,0.023,0
Grade-VII,Tamil,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q10,7,32,0,0.006,0.027,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q11,18,21,0,0.015,0.018,0
Grade-VII,Tamil,English,identify the main characters from the text given,Q12,15,24,0,0.013,0.021,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q13,14,25,0,0.012,0.021,0
Grade-VII,Tamil,English,identifies the main ideas and the sequence of ideas of the given text,Q14,8,31,0,0.007,0.026,0
Grade-VII,Tamil,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q15,17,21,1,0.015,0.018,0.001
Grade-VII,Tamil,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q16,10,29,0,0.009,0.025,0
Grade-VII,Tamil,English,identify the main characters from the text given,Q17,10,29,0,0.009,0.025,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Adjective,Q18,5,34,0,0.004,0.029,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Tense,Q19,10,29,0,0.009,0.025,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Punctuations,Q20,8,31,0,0.007,0.026,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Noun and Pronoun,Q21,12,27,0,0.01,0.023,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Noun and Pronoun,Q22,11,28,0,0.009,0.024,0
Grade-VII,Tamil,English,Applied the correct grammar rules,Q23,19,20,0,0.016,0.017,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Verb and Adverb,Q24,9,30,0,0.008,0.026,0
Grade-VII,Tamil,English,Applied the correct grammar rules,Q25,10,29,0,0.009,0.025,0
Grade-VII,Tamil,English,Applied the correct grammar rules,Q26,12,26,0,0.01,0.022,0
Grade-VII,Tamil,English,Applied the correct grammar rules,Q27,6,33,0,0.005,0.028,0
Grade-VII,Tamil,English,Applied the correct grammar rules,Q28,10,29,0,0.009,0.025,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Noun and Pronoun,Q29,15,24,0,0.013,0.021,0
Grade-VII,Tamil,English,Applied the correct grammar rules - Tense,Q30,20,19,0,0.017,0.016,0
Grade-VII,Tamil,Math,Performs division on fractions and decimals,Q5,15,24,0,0.013,0.021,0
Grade-VII,Tamil,Math,Performs division on fractions and decimals,Q6,10,29,0,0.009,0.025,0
Grade-VII,Tamil,Math,"Find mean, median and mode in the given data set",Q9,23,16,0,0.02,0.014,0
Grade-VII,Tamil,Math,"Find mean, median and mode in the given data set",Q10,7,31,1,0.006,0.026,0.001
Grade-VII,Tamil,Math,"Find mean, median and mode in the given data set",Q11,18,21,0,0.015,0.018,0
Grade-VII,Tamil,Math,"Find mean, median and mode in the given data set",Q13,11,28,0,0.009,0.024,0
Grade-VII,Tamil,Math,Apply the knowledge of profit and loss and simple interest problems,Q14,22,17,0,0.019,0.015,0
Grade-VII,Tamil,Math,Apply the knowledge of profit and loss and simple interest problems,Q15,30,9,0,0.026,0.008,0
Grade-VII,Tamil,Math,Applies angle sum property of a triangle to find unknown angles in a triangle,Q16,14,24,1,0.012,0.021,0.001
Grade-VII,Tamil,Math,Applies angle sum property of a triangle to find unknown angles in a triangle,Q17,32,7,0,0.027,0.006,0
Grade-VII,Tamil,Math,Applies angle sum property of a triangle to find unknown angles in a triangle,Q18,22,17,0,0.019,0.015,0
Grade-VII,Tamil,Math,Interpret data from the given table,Q26,20,16,3,0.017,0.014,0.003
Grade-VII,Tamil,Math,Interpret data from the given table,Q27,18,18,3,0.015,0.015,0.003
Grade-VII,Tamil,Math,Interpret data from the given table,Q28,20,17,2,0.017,0.015,0.002
Grade-VII,Tamil,Math,Interpret data from the given table,Q29,12,25,2,0.01,0.021,0.002
Grade-VII,Tamil,Math,Interpret data from the given table,Q30,13,23,2,0.011,0.02,0.002
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q3,15,20,3,0.017,0.023,0.003
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q4,2,36,0,0.002,0.041,0
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q5,10,27,1,0.011,0.031,0.001
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q6,10,24,4,0.011,0.027,0.005
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q7,10,28,0,0.011,0.032,0
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q9,11,27,0,0.013,0.031,0
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q11,26,11,1,0.03,0.013,0.001
Grade-VII,Tamil,Science,apply learning of scientific concepts in day to day life,Q13,15,23,0,0.017,0.026,0
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q15,6,31,1,0.007,0.035,0.001
Grade-VII,Tamil,Science,classify materials and organisms based on properties or characteristics,Q16,13,24,1,0.015,0.027,0.001
Grade-VII,Tamil,Science,relate processes and phenomena with causes,Q17,13,25,0,0.015,0.029,0
Grade-VII,Tamil,Science,apply learning of scientific concepts in day to day life,Q18,13,22,3,0.015,0.025,0.003
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q19,12,26,0,0.014,0.03,0
Grade-VII,Tamil,Science,apply learning of scientific concepts in day to day life,Q20,15,23,0,0.017,0.026,0
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q21,10,26,2,0.011,0.03,0.002
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q22,6,32,0,0.007,0.037,0
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q24,11,26,1,0.013,0.03,0.001
Grade-VII,Tamil,Science,classify materials and organisms based on properties or characteristics,Q25,11,26,1,0.013,0.03,0.001
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q26,16,21,1,0.018,0.024,0.001
Grade-VII,Tamil,Science,classify materials and organisms based on properties or characteristics,Q27,12,25,1,0.014,0.029,0.001
Grade-VII,Tamil,Science,differentiate materials and organisms on the basis of their properties structure and function,Q28,14,24,0,0.016,0.027,0
Grade-VII,Tamil,Science,classify materials and organisms based on properties or characteristics,Q29,8,30,0,0.009,0.034,0
Grade-VII,Tamil,Science,identify materials and organisms on the basis of observable features,Q30,11,26,1,0.013,0.03,0.001
Grade-VII,English,Tamil,Applied the correct grammar rules - Tense,Q1,10,2,0,0.0278,0.0056,0
Grade-VII,English,Tamil,Applied the correct grammar rules - Tense,Q2,10,2,0,0.0278,0.0056,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q3,8,4,0,0.0222,0.0111,0
Grade-VII,English,Tamil,Applied the correct grammar rules - Preposition,Q4,8,4,0,0.0222,0.0111,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q5,4,8,0,0.0111,0.0222,0
Grade-VII,English,Tamil,Applied the correct grammar rules - Conjunctions,Q6,7,5,0,0.0194,0.0139,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q7,10,2,0,0.0278,0.0056,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q8,7,5,0,0.0194,0.0139,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q9,5,7,0,0.0139,0.0194,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q10,5,7,0,0.0139,0.0194,0
Grade-VII,English,Tamil,Applied the correct grammar rules - Tense,Q11,10,2,0,0.0278,0.0056,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q12,10,2,0,0.0278,0.0056,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q13,8,4,0,0.0222,0.0111,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q14,7,5,0,0.0194,0.0139,0
Grade-VII,English,Tamil,Applied the correct grammar rules,Q15,7,5,0,0.0194,0.0139,0
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q16,4,8,0,0.0111,0.0222,0
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q17,6,5,1,0.0167,0.0139,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q18,6,5,1,0.0167,0.0139,0.0028
Grade-VII,English,Tamil,Discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q19,5,6,1,0.0139,0.0167,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q20,7,4,1,0.0194,0.0111,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q21,4,7,1,0.0111,0.0194,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q22,5,6,1,0.0139,0.0167,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q23,9,2,1,0.025,0.0056,0.0028
Grade-VII,English,Tamil,Identify the main characters or the major plot from the text given,Q24,4,7,1,0.0111,0.0194,0.0028
Grade-VII,English,Tamil,Identify the main characters or the major plot from the text given,Q25,8,3,1,0.0222,0.0083,0.0028
Grade-VII,English,Tamil,Identify the main characters or the major plot from the text given,Q26,8,3,1,0.0222,0.0083,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q27,8,3,1,0.0222,0.0083,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q28,8,3,1,0.0222,0.0083,0.0028
Grade-VII,English,Tamil,Discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q29,5,6,1,0.0139,0.0167,0.0028
Grade-VII,English,Tamil,Identifies the main ideas and the sequence of ideas of the given text,Q30,8,3,1,0.0222,0.0083,0.0028
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q1,9,3,0,0.025,0.0083,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q2,9,3,0,0.025,0.0083,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q3,5,7,0,0.0139,0.0194,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q4,10,2,0,0.0278,0.0056,0
Grade-VII,English,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q5,5,7,0,0.0139,0.0194,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q6,9,3,0,0.025,0.0083,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q7,8,4,0,0.0222,0.0111,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q8,6,6,0,0.0167,0.0167,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q9,5,7,0,0.0139,0.0194,0
Grade-VII,English,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q10,6,6,0,0.0167,0.0167,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q11,9,3,0,0.025,0.0083,0
Grade-VII,English,English,identify the main characters from the text given,Q12,9,3,0,0.025,0.0083,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q13,9,3,0,0.025,0.0083,0
Grade-VII,English,English,identifies the main ideas and the sequence of ideas of the given text,Q14,5,7,0,0.0139,0.0194,0
Grade-VII,English,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q15,5,7,0,0.0139,0.0194,0
Grade-VII,English,English,discover the meaning of the word by relating to the surrounding text for synonyms and antonyms,Q16,4,8,0,0.0111,0.0222,0
Grade-VII,English,English,identify the main characters from the text given,Q17,4,8,0,0.0111,0.0222,0
Grade-VII,English,English,Applied the correct grammar rules - Adjective,Q18,3,9,0,0.0083,0.025,0
Grade-VII,English,English,Applied the correct grammar rules - Tense,Q19,6,6,0,0.0167,0.0167,0
Grade-VII,English,English,Applied the correct grammar rules - Punctuations,Q20,1,11,0,0.0028,0.0306,0
Grade-VII,English,English,Applied the correct grammar rules - Noun and Pronoun,Q21,6,5,0,0.0167,0.0139,0
Grade-VII,English,English,Applied the correct grammar rules - Noun and Pronoun,Q22,3,8,0,0.0083,0.0222,0
Grade-VII,English,English,Applied the correct grammar rules,Q23,8,3,0,0.0222,0.0083,0
Grade-VII,English,English,Applied the correct grammar rules - Verb and Adverb,Q24,5,6,0,0.0139,0.0167,0
Grade-VII,English,English,Applied the correct grammar rules,Q25,5,6,0,0.0139,0.0167,0
Grade-VII,English,English,Applied the correct grammar rules,Q26,4,7,0,0.0111,0.0194,0
Grade-VII,English,English,Applied the correct grammar rules,Q27,2,9,0,0.0056,0.025,0
Grade-VII,English,English,Applied the correct grammar rules,Q28,6,5,0,0.0167,0.0139,0
Grade-VII,English,English,Applied the correct grammar rules - Noun and Pronoun,Q29,9,2,0,0.025,0.0056,0
Grade-VII,English,English,Applied the correct grammar rules - Tense,Q30,3,8,0,0.0083,0.0222,0
Grade-VII,English,Math,Performs division on fractions and decimals,Q5,6,6,0,0.0167,0.0167,0
Grade-VII,English,Math,Performs division on fractions and decimals,Q6,3,9,0,0.0083,0.025,0
Grade-VII,English,Math,"Find mean, median and mode in the given data set",Q9,9,3,0,0.025,0.0083,0
Grade-VII,English,Math,"Find mean, median and mode in the given data set",Q10,4,8,0,0.0111,0.0222,0
Grade-VII,English,Math,"Find mean, median and mode in the given data set",Q11,7,5,0,0.0194,0.0139,0
Grade-VII,English,Math,"Find mean, median and mode in the given data set",Q13,0,12,0,0,0.0333,0
Grade-VII,English,Math,Apply the knowledge of profit and loss and simple interest problems,Q14,8,4,0,0.0222,0.0111,0
Grade-VII,English,Math,Apply the knowledge of profit and loss and simple interest problems,Q15,8,4,0,0.0222,0.0111,0
Grade-VII,English,Math,Applies angle sum property of a triangle to find unknown angles in a triangle,Q16,6,6,0,0.0167,0.0167,0
Grade-VII,English,Math,Applies angle sum property of a triangle to find unknown angles in a triangle,Q17,9,3,0,0.025,0.0083,0
Grade-VII,English,Math,Applies angle sum property of a triangle to find unknown angles in a triangle,Q18,5,7,0,0.0139,0.0194,0
Grade-VII,English,Math,Interpret data from the given table,Q26,9,3,0,0.025,0.0083,0
Grade-VII,English,Math,Interpret data from the given table,Q27,10,2,0,0.0278,0.0056,0
Grade-VII,English,Math,Interpret data from the given table,Q28,8,4,0,0.0222,0.0111,0
Grade-VII,English,Math,Interpret data from the given table,Q29,7,5,0,0.0194,0.0139,0
Grade-VII,English,Math,Interpret data from the given table,Q30,5,7,0,0.0139,0.0194,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q3,10,2,0,0.036231884,0.007246377,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q4,2,10,0,0.007246377,0.036231884,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q5,2,10,0,0.007246377,0.036231884,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q6,1,11,0,0.003623188,0.039855072,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q7,1,11,0,0.003623188,0.039855072,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q9,4,8,0,0.014492754,0.028985507,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q11,9,3,0,0.032608696,0.010869565,0
Grade-VII,English,Science,apply learning of scientific concepts in day to day life,Q13,5,7,0,0.018115942,0.025362319,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q15,1,11,0,0.003623188,0.039855072,0
Grade-VII,English,Science,classify materials and organisms based on properties or characteristics,Q16,3,9,0,0.010869565,0.032608696,0
Grade-VII,English,Science,relate processes and phenomena with causes,Q17,4,8,0,0.014492754,0.028985507,0
Grade-VII,English,Science,apply learning of scientific concepts in day to day life,Q18,4,8,0,0.014492754,0.028985507,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q19,4,8,0,0.014492754,0.028985507,0
Grade-VII,English,Science,apply learning of scientific concepts in day to day life,Q20,2,10,0,0.007246377,0.036231884,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q21,5,7,0,0.018115942,0.025362319,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q22,2,10,0,0.007246377,0.036231884,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q24,9,3,0,0.032608696,0.010869565,0
Grade-VII,English,Science,classify materials and organisms based on properties or characteristics,Q25,0,12,0,0,0.043478261,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q26,5,7,0,0.018115942,0.025362319,0
Grade-VII,English,Science,classify materials and organisms based on properties or characteristics,Q27,6,6,0,0.02173913,0.02173913,0
Grade-VII,English,Science,differentiate materials and organisms on the basis of their properties structure and function,Q28,8,4,0,0.028985507,0.014492754,0
Grade-VII,English,Science,classify materials and organisms based on properties or characteristics,Q29,4,8,0,0.014492754,0.028985507,0
Grade-VII,English,Science,identify materials and organisms on the basis of observable features,Q30,2,10,0,0.007246377,0.036231884,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q1,34,3,0,0.031,0.003,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q2,37,0,0,0.033,0,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q3,17,20,0,0.015,0.018,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q4,26,11,0,0.023,0.01,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q5,16,20,1,0.014,0.018,0.001
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q6,27,9,1,0.024,0.008,0.001
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q7,31,5,1,0.028,0.005,0.001
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q8,15,21,1,0.014,0.019,0.001
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q9,34,3,0,0.031,0.003,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q10,13,21,3,0.012,0.019,0.003
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q11,37,0,0,0.033,0,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q12,34,3,0,0.031,0.003,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q13,29,8,0,0.026,0.007,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q14,26,11,0,0.023,0.01,0
Grade-VIII,Tamil,Tamil,applied the correct grammar rules,Q15,34,3,0,0.031,0.003,0
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q16,35,2,0,0.032,0.002,0
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q17,36,1,0,0.032,0.001,0
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q18,32,3,2,0.029,0.003,0.002
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q19,31,3,3,0.028,0.003,0.003
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q20,32,2,3,0.029,0.002,0.003
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q21,23,12,2,0.021,0.011,0.002
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q22,34,1,2,0.031,0.001,0.002
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q23,31,4,2,0.028,0.004,0.002
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q24,31,4,2,0.028,0.004,0.002
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q25,27,7,3,0.024,0.006,0.003
Grade-VIII,Tamil,Tamil,identify the main characters from the text given,Q26,30,6,0,0.027,0.005,0
Grade-VIII,Tamil,Tamil,identifies the main ideas and the sequence of ideas of the given text,Q27,29,6,2,0.026,0.005,0.002
